max given buckets: 10
starting algorithm at: 16:32:50.016497

no optimal variance wanted. using threshold: 0.4
finishing algorithm at: 16:32:50.018486

running time of algorithm: 0:00:00.001989

[(0, -3.99) (0, -3.98) (0, -3.97) (0, -3.97) (0, -3.97) (0, -3.96)
 (0, -3.96) (0, -3.95) (0, -3.95) (0, -3.93) (0, -3.92) (0, -3.9 )
 (0, -3.9 ) (0, -3.9 ) (0, -3.9 ) (0, -3.89) (0, -3.88) (0, -3.88)
 (0, -3.88) (0, -3.87) (0, -3.86) (0, -3.86) (0, -3.85) (0, -3.84)
 (0, -3.83) (0, -3.82) (0, -3.82) (0, -3.81) (0, -3.8 ) (0, -3.8 )
 (0, -3.8 ) (0, -3.79) (0, -3.77) (0, -3.77) (0, -3.76) (0, -3.76)
 (0, -3.74) (0, -3.73) (0, -3.71) (0, -3.71) (0, -3.7 ) (0, -3.7 )
 (0, -3.69) (0, -3.68) (0, -3.66) (0, -3.65) (0, -3.65) (0, -3.65)
 (0, -3.63) (0, -3.62) (0, -3.61) (0, -3.61) (0, -3.61) (0, -3.57)
 (0, -3.55) (0, -3.55) (0, -3.54) (0, -3.54) (0, -3.53) (0, -3.53)
 (0, -3.52) (0, -3.51) (0, -3.5 ) (0, -3.49) (0, -3.49) (0, -3.48)
 (0, -3.48) (0, -3.47) (0, -3.47) (0, -3.44) (0, -3.44) (0, -3.43)
 (0, -3.42) (0, -3.4 ) (0, -3.4 ) (0, -3.4 ) (0, -3.4 ) (0, -3.4 )
 (0, -3.39) (0, -3.38) (0, -3.37) (0, -3.37) (0, -3.36) (0, -3.35)
 (0, -3.34) (0, -3.33) (0, -3.33) (0, -3.33) (0, -3.33) (0, -3.31)
 (0, -3.3 ) (0, -3.29) (0, -3.28) (0, -3.26) (0, -3.24) (0, -3.24)
 (0, -3.24) (0, -3.22) (0, -3.22) (0, -3.2 ) (0, -3.2 ) (0, -3.2 )
 (0, -3.19) (0, -3.19) (0, -3.19) (0, -3.18) (0, -3.18) (0, -3.17)
 (0, -3.17) (0, -3.16) (0, -3.15) (0, -3.15) (0, -3.14) (0, -3.13)
 (0, -3.13) (0, -3.12) (0, -3.1 ) (0, -3.1 ) (0, -3.09) (0, -3.05)
 (0, -3.05) (0, -3.05) (0, -3.05) (0, -3.05) (0, -3.04) (0, -3.04)
 (0, -3.04) (0, -3.03) (0, -3.03) (0, -3.03) (0, -3.02) (0, -3.02)
 (0, -3.01) (0, -3.01) (0, -2.99) (0, -2.99) (0, -2.99) (0, -2.99)
 (0, -2.98) (0, -2.96) (0, -2.95) (0, -2.94) (0, -2.93) (0, -2.93)
